start vertex,neighbor size,query time (in ms)
3600312,v[24744],1805.3366
2677094,v[463000],400.7294
2038005,v[53304],95.4117
3301167,v[8304],515.1782
704219,v[38355112],90.7726
1779962,v[4152],518.3716
2681401,v[4208],1897.6782
2277366,v[8360],390.0849
1649130,v[4248],469.0999
806220,v[8248],166.9476
3783689,v[8304],446.212
3979771,v[4152],1695.1597
2878950,v[4152],179.0414
1316789,v[307448],393.4747
4099483,v[28720],81.2835
2654216,v[8240],138.6878
3520283,v[606360],417.8609
320529,v[8240],94.1888
460890,v[41016],88.1621
2861567,v[98352],391.7605
1676721,v[24776],119.8071
3582851,v[221352],391.2419
2025534,v[12488],178.114
1897682,v[491768],405.4823
3042164,v[24744],101.9389
683461,v[4152],653.6131
484783,v[12488],496.6642
2964318,v[36049096],95.0713
825304,v[213040],402.1497
2303395,v[4152],1377.5252
3029190,v[8248],412.0651
2119218,v[8240],541.9861
341236,v[4152],1122.3609
3921645,v[28720],96.6911
3350720,v[4152],1604.1412
1382338,v[4312],531.9619
2497566,v[4152],1007.4145
2293317,v[1314864],97.2655
1365818,v[28720],408.5553
3108349,v[241864],102.5569
1039487,v[679992],101.4634
656628,v[8248],509.0759
326459,v[73976],101.8293
3486463,v[20728],419.8381
1513849,v[8248],108.7769
3120768,v[581832],417.5774
3254104,v[8248],134.4576
2859677,v[1253424],400.8202
4100533,v[4152],734.8816
1214662,v[8240],502.9409
2844418,v[28888],341.007
3228461,v[28888],281.1899
2971789,v[4208],532.2478
838862,v[28720],117.7955
3242202,v[4152],6892.1805
231946,v[131184],119.196
103480,v[8248],445.4598
745855,v[422088],116.9544
2202837,v[28888],418.9763
121973,v[4152],502.919
2944986,v[4296],1187.6982
3916778,v[4312],580.2684
1237877,v[28888],381.6206
2404335,v[82120],73.2103
3903782,v[4152],1797.411
3753107,v[4152],1370.478
2638320,v[4248],1025.726
3532534,v[8248],203.3834
3026267,v[4152],1016.2804
149529,v[121581816],71.6914
2522099,v[57456],74.381
1565761,v[8392],460.1022
1345848,v[8248],108.815
1059426,v[28720],77.8907
2994540,v[4208],1142.6721
1629629,v[4152],596.4965
1481421,v[8240],477.3831
337894,v[8248],80.6362
2706001,v[4312],403.7071
342515,v[8240],189.4541
2301230,v[24744],413.2584
3455722,v[4152],123.9369
4103891,v[442584],74.3634
2560844,v[4312],488.2191
316796,v[24792],82.2123
3853684,v[208944],21.6874
2803721,v[8248],22.778
2782143,v[286832],27.2362
4168065,v[475352],20.7541
1297201,v[180472],31.9971
2982970,v[4112],2268.7217
1089600,v[24744],68.2442
3589606,v[667816],25.6421
1978189,v[4208],60.4165
514482,v[8248],39.9234
773765,v[127032],19.0358
1929789,v[237784],22.4327
2499474,v[4208],352.2698
1367644,v[4152],46.8849
3052548,v[24776],62.3085
